date,open,high,low,close,volume,ma_7,ma_30,ma_90,daily_return,volatility_7,volatility_30,rsi,macd,macd_signal,bb_upper,bb_lower
2021-07-15,1828.4,1833.0,1823.4,1831.6,99,1807.8143,1821.03,1794.8378,1.0204,0.3921,0.9204,77.0256,-5.6307,-12.2447,1825.2034,1753.8266
2021-07-16,1814.5,1831.4,1814.5,1830.1,78,1812.3,1818.4067,1796.4367,-0.0819,0.3943,0.9129,76.7894,-3.1756,-10.4309,1829.3189,1751.541
2021-07-19,1808.7,1813.4,1803.3,1803.3,33,1813.2,1816.2067,1797.4333,-1.4644,0.7616,0.8746,59.6577,-3.3538,-9.0154,1830.4561,1753.1639
2021-07-20,1810.9,1824.0,1810.9,1812.9,128,1814.5286,1813.62,1798.4033,0.5324,0.7754,0.8516,63.9382,-2.6894,-7.7502,1832.1624,1755.8675
2021-07-21,1802.9,1807.0,1800.0,1807.0,135,1815.1571,1810.6367,1799.4156,-0.3254,0.7897,0.8479,69.173,-2.6088,-6.722,1833.4198,1756.9701
2021-07-22,1805.0,1805.0,1793.6,1793.6,2,1813.0857,1807.26,1800.1278,-0.7416,0.8287,0.8544,57.5528,-3.585,-6.0946,1833.4656,1758.2143
2021-07-23,1801.4,1801.4,1800.0,1800.0,1,1811.2143,1804.3367,1800.88,0.3568,0.8355,0.859,58.7367,-3.7983,-5.6353,1833.6949,1760.0951
2021-07-26,1798.7,1802.5,1797.2,1802.5,17,1807.0571,1801.0567,1801.6267,0.1389,0.6926,0.8458,56.787,-3.7228,-5.2528,1833.8674,1762.4026
2021-07-27,1799.5,1803.7,1799.5,1803.7,1,1803.2857,1798.9733,1802.27,0.0666,0.7,0.7868,52.3674,-3.5254,-4.9073,1834.0515,1764.6285
2021-07-28,1799.5,1799.5,1799.5,1799.5,209783,1802.7429,1796.7433,1802.9067,-0.2329,0.4356,0.7868,51.1563,-3.6657,-4.659,1833.5281,1767.4218
2021-07-29,1831.2,1832.6,1806.1,1806.6,30496,1801.8428,1794.9833,1803.6711,0.3946,0.4082,0.7907,51.3812,-3.1674,-4.3607,1830.1766,1775.3234
2021-07-30,1812.6,1830.5,1808.9,1828.0,3100,1804.8428,1795.5233,1804.8189,1.1845,0.5943,0.6749,59.845,-1.0338,-3.6953,1831.8906,1778.8394
2021-08-02,1818.1,1818.7,1804.8,1812.4,1334,1807.5286,1796.7467,1805.7622,-0.8534,0.6236,0.5828,51.5457,-0.5949,-3.0752,1830.5528,1783.5472
2021-08-03,1810.1,1813.5,1806.0,1812.3,3341,1809.2857,1798.1967,1806.6467,-0.0055,0.6187,0.5766,49.702,-0.2521,-2.5106,1829.873,1786.787
2021-08-04,1810.5,1831.3,1806.3,1809.3,2860,1810.2571,1799.06,1807.6244,-0.1655,0.6261,0.5607,40.6066,-0.2201,-2.0525,1829.9217,1787.7983
2021-08-05,1805.1,1813.7,1796.0,1810.8,588,1811.2714,1800.0633,1808.7211,0.0829,0.6261,0.5595,41.8703,-0.0728,-1.6566,1829.8667,1789.2333
2021-08-06,1760.0,1800.1,1758.4,1799.8,859,1811.3143,1800.76,1809.7078,-0.6075,0.6696,0.5719,48.2993,-0.834,-1.4921,1829.9798,1788.7402
2021-08-09,1723.4,1753.8,1692.6,1753.5,1621,1803.7286,1799.9533,1810.4833,-2.5725,1.1489,0.7449,28.7249,-5.1144,-2.2165,1839.2638,1774.5462
2021-08-10,1728.8,1735.2,1720.1,1728.6,1363,1789.5286,1798.2533,1810.7256,-1.42,0.9468,0.7854,25.2837,-10.396,-3.8524,1850.5865,1755.2735
2021-08-11,1750.4,1752.2,1727.3,1727.3,542,1777.3715,1796.6033,1810.7189,-0.0752,0.9834,0.7853,27.372,-14.5193,-5.9858,1856.7439,1740.5361
2021-08-12,1749.0,1752.4,1745.5,1749.7,739,1768.4286,1796.2233,1810.9722,1.2968,1.2257,0.8099,34.523,-15.7974,-7.9481,1854.3864,1734.7036
2021-08-13,1775.2,1777.3,1757.4,1758.3,436,1761.1429,1795.6433,1811.1456,0.4915,1.2791,0.8001,36.8921,-15.9327,-9.545,1850.429,1731.481
2021-08-16,1786.9,1787.8,1771.9,1776.9,219,1756.3,1795.5833,1811.6,1.0578,1.3888,0.8238,42.7957,-14.3734,-10.5107,1849.1272,1730.1428
2021-08-17,1785.0,1794.2,1780.0,1787.7,200,1754.5714,1795.6167,1812.01,0.6078,1.4141,0.8272,46.9366,-12.1263,-10.8338,1846.8513,1729.8987
2021-08-18,1781.6,1791.5,1779.0,1787.8,263,1759.4714,1795.2533,1812.5322,0.0056,0.9021,0.8176,44.9354,-10.2197,-10.711,1845.2305,1729.5995
2021-08-19,1780.2,1789.3,1775.5,1780.0,245,1766.8143,1794.6867,1813.0456,-0.4363,0.628,0.8211,36.0465,-9.2316,-10.4151,1844.5641,1728.9059
2021-08-20,1781.0,1787.5,1778.2,1784.1,235,1774.9286,1794.0367,1813.5211,0.2303,0.5976,0.8192,41.1838,-8.0252,-9.9371,1843.4375,1728.4425
2021-08-23,1803.2,1804.8,1776.8,1776.8,32,1778.8,1793.1767,1813.9289,-0.4092,0.5475,0.8221,39.4156,-7.5709,-9.4639,1841.7415,1727.5685
2021-08-24,1805.6,1805.6,1801.0,1801.0,22,1784.9,1792.94,1814.2689,1.362,0.6975,0.8594,47.8031,-5.1982,-8.6107,1841.4294,1727.6107
2021-08-25,1788.2,1792.9,1784.0,1792.0,812,1787.0571,1792.2367,1814.3789,-0.4997,0.6806,0.8622,45.2138,-3.998,-7.6882,1840.7367,1727.5533
2021-08-26,1792.2,1792.2,1781.0,1787.4,61,1787.0143,1790.7633,1814.58,-0.2567,0.6559,0.8395,46.7368,-3.379,-6.8263,1838.8161,1727.5539
2021-08-27,1816.6,1816.6,1803.1,1803.4,1219,1789.2429,1789.8733,1814.8067,0.8952,0.7383,0.8581,65.6231,-1.5792,-5.7769,1834.4113,1729.4988
2021-08-30,1809.0,1820.3,1807.8,1818.2,684,1794.7,1790.37,1815.0733,0.8207,0.7315,0.8287,79.9466,1.0295,-4.4156,1835.4685,1729.0216
2021-08-31,1815.0,1815.9,1801.1,1815.9,82,1799.2429,1790.47,1815.4044,-0.1265,0.7498,0.8236,79.4157,2.8782,-2.9569,1836.0989,1728.7511
2021-09-01,1813.1,1815.9,1809.5,1813.5,114,1804.4857,1790.6867,1815.7989,-0.1322,0.7154,0.8217,74.4258,4.1023,-1.545,1836.7824,1728.4876
2021-09-02,1808.7,1813.9,1806.8,1813.2,26,1806.2286,1791.34,1816.1678,-0.0165,0.5412,0.8092,72.4448,4.9907,-0.2379,1837.1751,1728.3349
2021-09-03,1830.9,1833.9,1818.9,1820.9,53,1810.3571,1792.0367,1816.7533,0.4247,0.4805,0.8102,69.7487,6.2441,1.0585,1840.3964,1727.2236
